,NO,GAP,TIME,LAP
590,5,,1:32.228,31
591,6,2.750,1:31.885,31
592,3,11.483,1:32.465,31
593,33,16.307,1:32.952,31
594,44,19.689,1:33.814,31
595,19,25.918,1:32.561,31
596,8,34.302,1:33.220,31
597,27,35.545,1:33.602,31
598,77,36.326,1:33.483,31
599,55,PIT,1:53.053,31
600,30,38.468,1:33.439,31
601,11,41.849,1:33.052,31
602,20,52.365,1:33.508,31
603,94,57.322,1:34.280,31
604,12,58.026,1:34.154,31
605,22,70.440,1:37.766,31
606,9,75.664,1:34.503,31
607,5,,1:32.227,32
608,6,2.336,1:31.813,32
609,3,11.792,1:32.536,32
610,44,18.866,1:31.404,32
611,19,26.432,1:32.741,32
612,8,35.714,1:33.639,32
613,27,36.935,1:33.617,32
614,77,37.608,1:33.509,32
615,30,40.699,1:34.458,32
616,33,PIT,1:58.684,32
617,11,43.112,1:33.490,32
618,55,43.463,1:37.333,32
619,20,53.723,1:33.585,32
620,12,60.221,1:34.422,32
621,22,69.898,1:31.685,32
622,9,78.650,1:35.213,32
623,94,PIT,1:54.777,32
624,5,,1:32.795,33
625,6,1.656,1:32.115,33
626,3,11.416,1:32.419,33
627,44,17.032,1:30.961,33
628,19,26.603,1:32.966,33
629,8,36.246,1:33.327,33
630,27,37.351,1:33.211,33
631,77,38.352,1:33.539,33
632,30,41.441,1:33.537,33
633,55,43.377,1:32.709,33
634,11,45.111,1:34.794,33
635,33,46.892,1:36.923,33
636,20,54.766,1:33.838,33
637,12,60.818,1:33.392,33
638,22,68.787,1:31.684,33
639,9,80.762,1:34.907,33
640,94,88.374,1:41.297,33
641,5,,1:32.937,34
642,6,1.404,1:32.685,34
643,3,10.612,1:32.133,34
644,44,15.165,1:31.070,34
645,19,26.602,1:32.936,34
646,8,36.829,1:33.520,34
647,27,37.793,1:33.379,34
648,77,38.454,1:33.039,34
649,30,42.366,1:33.862,34
650,55,42.770,1:32.330,34
651,33,46.569,1:32.614,34
652,11,47.114,1:34.940,34
653,20,55.547,1:33.718,34
654,12,61.498,1:33.617,34
655,22,67.870,1:32.020,34
656,9,82.220,1:34.395,34
657,94,88.110,1:32.673,34
658,6,,1:32.679,35
659,3,8.447,1:31.918,35
660,44,12.476,1:31.394,35
661,5,PIT,1:53.109,35
662,19,25.251,1:32.732,35
663,8,36.134,1:33.388,35
664,27,37.013,1:33.303,35
665,77,37.636,1:33.265,35
666,30,42.305,1:34.022,35
667,55,42.618,1:33.931,35
668,33,44.828,1:32.342,35
669,11,46.919,1:33.888,35
670,20,54.770,1:33.306,35
671,12,61.110,1:33.695,35
672,22,65.894,1:32.107,35
673,9,82.451,1:34.314,35
674,94,86.999,1:32.972,35
675,6,,1:31.982,36
676,3,8.403,1:31.938,36
677,44,11.475,1:30.981,36
678,5,21.791,1:34.747,36
679,19,26.049,1:32.780,36
680,8,37.162,1:33.010,36
681,27,38.200,1:33.169,36
682,77,38.863,1:33.209,36
683,30,44.434,1:34.111,36
684,55,44.809,1:34.173,36
685,33,45.449,1:32.603,36
686,11,48.044,1:33.107,36
687,20,55.792,1:33.004,36
688,12,62.535,1:33.407,36
689,22,66.108,1:32.196,36
690,9,84.906,1:34.437,36
691,94,88.081,1:33.064,36
692,6,,1:31.755,37
693,3,8.591,1:31.943,37
694,44,10.997,1:31.277,37
695,5,20.287,1:30.251,37
696,19,26.598,1:32.304,37
697,8,38.618,1:33.211,37
698,27,39.882,1:33.437,37
699,77,40.407,1:33.299,37
700,30,46.130,1:33.451,37
701,55,46.371,1:33.317,37
702,33,47.043,1:33.349,37
703,11,49.848,1:33.559,37
704,20,56.826,1:32.789,37
705,12,64.032,1:33.252,37
706,22,66.353,1:32.000,37
707,9,87.268,1:34.117,37
708,94,90.008,1:33.682,37
709,6,,1:31.668,38
710,3,9.045,1:32.122,38
711,44,10.914,1:31.585,38
712,5,19.231,1:30.612,38
713,19,27.355,1:32.425,38
714,8,40.335,1:33.385,38
715,27,41.846,1:33.632,38
716,77,42.274,1:33.535,38
717,30,48.410,1:33.948,38
718,55,48.819,1:34.116,38
719,33,49.275,1:33.900,38
720,11,51.472,1:33.292,38
721,20,57.941,1:32.783,38
722,12,65.882,1:33.518,38
723,22,67.030,1:32.345,38
724,9,89.690,1:34.090,38
725,,,,38
726,6,,1:32.137,39
727,94,1 LAP,1:35.761,39
728,3,9.172,1:32.264,39
729,44,10.211,1:31.434,39
730,5,17.721,1:30.627,39
731,19,27.506,1:32.288,39
732,8,41.337,1:33.139,39
733,27,42.772,1:33.063,39
734,77,43.371,1:33.234,39
735,30,49.325,1:33.052,39
736,55,49.712,1:33.030,39
737,33,50.320,1:33.182,39
738,11,52.115,1:32.780,39
739,20,58.595,1:32.791,39
740,12,66.810,1:33.065,39
741,22,67.392,1:32.499,39
742,,,,39
743,6,,1:31.651,40
744,94,1 LAP,1:33.994,40
745,3,9.640,1:32.119,40
746,44,10.348,1:31.788,40
747,5,17.134,1:31.064,40
748,19,28.454,1:32.599,40
749,8,43.308,1:33.622,40
750,27,44.628,1:33.507,40
751,77,45.093,1:33.373,40
752,30,51.182,1:33.508,40
753,55,51.808,1:33.747,40
754,33,52.306,1:33.637,40
755,11,54.178,1:33.714,40
756,20,60.188,1:33.244,40
757,12,68.552,1:33.393,40
758,22,69.034,1:33.293,40
759,,,,40
760,6,,1:32.506,41
761,94,1 LAP,1:34.316,41
762,3,9.989,1:32.855,41
763,44,10.261,1:32.419,41
764,5,15.848,1:31.220,41
765,19,28.465,1:32.517,41
766,8,43.736,1:32.934,41
767,27,45.115,1:32.993,41
768,77,45.803,1:33.216,41
769,30,51.961,1:33.285,41
770,55,52.268,1:32.966,41
771,33,52.943,1:33.143,41
772,11,55.172,1:33.500,41
773,20,61.002,1:33.320,41
774,12,69.398,1:33.352,41
775,22,70.115,1:33.587,41
776,6,,1:31.467,42
777,94,1 LAP,1:35.147,42
778,44,9.997,1:31.203,42
779,5,15.485,1:31.104,42
780,19,29.746,1:32.748,42
781,3,PIT,1:51.355,42
782,8,45.476,1:33.207,42
783,27,46.723,1:33.075,42
784,77,47.482,1:33.146,42
785,55,53.079,1:32.278,42
786,33,53.938,1:32.462,42
787,30,55.844,1:35.350,42
788,11,56.989,1:33.284,42
789,20,62.300,1:32.765,42
790,12,71.205,1:33.274,42
791,22,71.895,1:33.247,42
792,6,,1:31.070,43
793,44,9.735,1:30.808,43
794,94,1 LAP,1:36.344,43
795,5,15.229,1:30.814,43
796,19,31.386,1:32.710,43
797,3,36.233,1:37.426,43
798,8,47.886,1:33.480,43
799,27,48.870,1:33.217,43
800,77,49.532,1:33.120,43
801,55,53.814,1:31.805,43
802,33,54.922,1:32.054,43
803,30,58.188,1:33.414,43
804,11,58.965,1:33.046,43
805,20,63.945,1:32.715,43
806,12,72.976,1:32.841,43
807,22,73.687,1:32.862,43
808,6,,1:30.854,44
809,44,9.937,1:31.056,44
810,5,15.571,1:31.196,44
811,94,1 LAP,1:36.021,44
812,19,33.609,1:33.077,44
813,3,35.427,1:30.048,44
814,8,50.080,1:33.048,44
815,27,51.188,1:33.172,44
816,77,51.716,1:33.038,44
817,55,54.719,1:31.759,44
818,33,55.584,1:31.516,44
819,30,60.968,1:33.634,44
820,11,61.901,1:33.790,44
821,20,66.107,1:33.016,44
822,12,75.338,1:33.216,44
823,22,75.995,1:33.162,44
824,6,,1:30.812,45
825,44,10.703,1:31.578,45
826,5,15.538,1:30.779,45
827,94,1 LAP,1:34.458,45
828,19,35.634,1:32.837,45
829,3,35.753,1:31.138,45
830,8,52.400,1:33.132,45
831,27,53.552,1:33.176,45
832,77,54.040,1:33.136,45
833,55,55.720,1:31.813,45
834,33,56.767,1:31.995,45
835,30,63.330,1:33.174,45
836,11,64.245,1:33.156,45
837,20,67.747,1:32.452,45
838,12,77.636,1:33.110,45
839,22,78.261,1:33.078,45
840,6,,1:31.415,46
841,44,10.491,1:31.203,46
842,5,14.848,1:30.725,46
843,94,1 LAP,1:35.023,46
844,3,34.303,1:29.965,46
845,19,37.668,1:33.449,46
846,8,54.026,1:33.041,46
847,27,55.581,1:33.444,46
848,77,55.984,1:33.359,46
849,55,56.589,1:32.284,46
850,33,57.421,1:32.069,46
851,30,65.064,1:33.149,46
852,11,66.271,1:33.441,46
853,20,69.129,1:32.797,46
854,12,79.250,1:33.029,46
855,22,79.802,1:32.956,46
856,6,,1:31.222,47
857,44,10.321,1:31.052,47
858,5,14.216,1:30.590,47
859,94,1 LAP,1:35.005,47
860,3,32.547,1:29.466,47
861,19,39.339,1:32.893,47
862,8,55.745,1:32.941,47
863,27,57.285,1:32.926,47
864,77,58.054,1:33.292,47
865,55,58.477,1:33.110,47
866,33,59.201,1:33.002,47
867,30,67.111,1:33.269,47
868,11,68.413,1:33.364,47
869,20,70.366,1:32.459,47
870,12,80.800,1:32.772,47
871,22,81.516,1:32.936,47
872,6,,1:31.300,48
873,44,9.667,1:30.646,48
874,5,13.379,1:30.463,48
875,3,30.667,1:29.420,48
876,94,1 LAP,1:36.832,48
877,19,41.207,1:33.168,48
878,8,57.307,1:32.862,48
879,27,58.932,1:32.947,48
880,77,59.662,1:32.908,48
881,55,60.249,1:33.072,48
882,33,60.792,1:32.891,48
883,30,68.997,1:33.186,48
884,11,70.407,1:33.294,48
885,20,71.881,1:32.815,48
886,12,82.211,1:32.711,48
887,22,82.967,1:32.751,48
888,6,,1:31.811,49
889,44,8.540,1:30.684,49
890,5,11.839,1:30.271,49
891,3,27.853,1:28.997,49
892,94,1 LAP,1:35.026,49
893,19,42.486,1:33.090,49
894,8,58.419,1:32.923,49
895,27,59.954,1:32.833,49
896,77,60.837,1:32.986,49
897,55,61.287,1:32.849,49
898,33,61.974,1:32.993,49
899,30,70.489,1:33.303,49
900,11,72.051,1:33.455,49
901,20,73.093,1:33.023,49
902,12,83.390,1:32.990,49
903,22,83.997,1:32.841,49
904,6,,1:31.000,50
905,44,8.453,1:30.913,50
906,5,11.007,1:30.168,50
907,3,26.160,1:29.307,50
908,19,45.237,1:33.751,50
909,94,1 LAP,1:38.154,50
910,8,60.378,1:32.959,50
911,27,61.796,1:32.842,50
912,77,62.817,1:32.980,50
913,55,63.222,1:32.935,50
914,33,63.791,1:32.817,50
915,30,72.692,1:33.203,50
916,11,74.585,1:33.534,50
917,20,75.949,1:33.856,50
918,12,85.370,1:32.980,50
919,22,85.948,1:32.951,50
920,6,,1:30.703,51
921,44,9.823,1:32.073,51
922,5,10.441,1:30.137,51
923,3,25.756,1:30.299,51
924,19,47.614,1:33.080,51
925,94,1 LAP,1:35.044,51
926,8,62.571,1:32.896,51
927,27,64.155,1:33.062,51
928,77,64.839,1:32.725,51
929,55,65.257,1:32.738,51
930,33,65.922,1:32.834,51
931,30,75.160,1:33.171,51
932,11,76.928,1:33.046,51
933,20,78.095,1:32.849,51
934,12,87.428,1:32.761,51
935,22,88.007,1:32.762,51
936,6,,1:30.978,52
937,44,9.951,1:31.106,52
938,5,10.725,1:31.262,52
939,3,25.143,1:30.365,52
940,19,49.854,1:33.218,52
941,94,1 LAP,1:35.305,52
942,8,64.719,1:33.126,52
943,27,66.750,1:33.573,52
944,77,67.250,1:33.389,52
945,55,68.271,1:33.992,52
946,33,73.967,1:39.023,52
947,30,77.397,1:33.215,52
948,11,79.258,1:33.308,52
949,20,80.301,1:33.184,52
950,12,89.363,1:32.913,52
951,22,90.133,1:33.104,52
952,6,,1:31.813,53
953,44,8.995,1:30.857,53
954,5,9.577,1:30.665,53
955,3,23.720,1:30.390,53
956,19,51.655,1:33.614,53
957,94,1 LAP,1:37.491,53
958,8,66.124,1:33.218,53
959,27,68.406,1:33.469,53
960,77,69.147,1:33.710,53
961,55,69.626,1:33.168,53
962,33,73.849,1:31.695,53
963,30,78.824,1:33.240,53
964,11,80.701,1:33.256,53
965,20,81.495,1:33.007,53
966,12,90.318,1:32.768,53
967,,,,53
968,6,,1:32.179,54
969,22,1 LAP,1:34.490,54
970,44,7.860,1:31.044,54
971,5,8.305,1:30.907,54
972,3,22.494,1:30.953,54
973,19,53.098,1:33.622,54
974,94,1 LAP,1:37.817,54
975,8,67.547,1:33.602,54
976,27,69.829,1:33.602,54
977,77,70.663,1:33.695,54
978,55,71.029,1:33.582,54
979,33,73.415,1:31.745,54
980,30,79.829,1:33.184,54
981,11,82.279,1:33.757,54
982,20,82.886,1:33.570,54
983,,,,54
984,6,,1:32.350,55
985,12,1 LAP,1:34.267,55
986,22,1 LAP,1:32.715,55
987,44,6.676,1:31.166,55
988,5,11.194,1:35.239,55
989,3,21.920,1:31.776,55
990,19,54.566,1:33.818,55
991,8,68.665,1:33.468,55
992,27,71.073,1:33.594,55
993,77,72.028,1:33.715,55
994,55,73.032,1:34.353,55
995,33,73.852,1:32.787,55
996,94,1 LAP,1:42.631,55
997,30,80.726,1:33.247,55
998,20,83.778,1:33.242,55
999,11,86.288,1:36.359,55
