,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
89,12,50.312,1:45.889,12,53.614,1:45.573,88,PIT,1:51.963,94,60.541,1:43.654,12,PIT,1:51.479
90,94,57.889,2:05.016,94,58.672,1:43.054,94,59.672,1:43.620,30,68.019,1:44.031,30,64.439,1:44.809
91,30,64.773,2:00.288,30,65.578,1:43.076,30,66.773,1:43.815,88,76.496,2:01.959,88,71.022,1:42.915
92,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
93,6,,2:00.966,6,,1:40.631,6,,1:40.868,6,,1:40.881,6,,1:40.876
94,77,PIT,1:49.039,26,12.871,1:42.068,26,14.017,1:42.014,26,15.297,1:42.161,26,16.705,1:42.284
95,26,11.434,1:42.138,5,14.515,1:41.808,5,15.461,1:41.814,5,16.731,1:42.151,5,18.002,1:42.147
96,5,13.338,1:42.338,22,19.245,1:44.487,22,22.720,1:44.343,22,26.386,1:44.547,19,28.917,1:42.911
97,44,PIT,1:49.277,11,21.456,1:42.464,11,23.393,1:42.805,19,26.882,1:43.930,22,31.031,1:45.521
98,22,15.389,1:45.026,19,21.972,1:42.435,19,23.833,1:42.729,11,27.507,1:44.995,11,31.515,1:44.884
99,11,19.623,1:42.112,77,28.824,2:00.037,77,29.514,1:41.558,77,30.599,1:41.966,77,31.772,1:42.049
100,19,20.168,1:42.034,9,29.695,1:45.149,3,33.283,1:43.067,3,34.577,1:42.175,3,35.684,1:41.983
101,9,25.177,1:44.812,55,30.885,1:43.305,9,33.867,1:45.040,55,35.990,1:42.768,55,37.612,1:42.498
102,55,28.211,1:42.983,3,31.084,1:42.805,55,34.103,1:44.086,7,37.148,1:43.122,7,38.824,1:42.552
103,3,28.910,1:42.909,7,32.924,1:43.550,7,34.907,1:42.851,44,37.700,1:42.321,44,39.463,1:42.639
