,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
28,18,L. STROLL,Williams Martini Racing,17,17:39:23,2,,15.327,37.952
29,27,N. HULKENBERG,Renault Sport F1 Team,17,17:39:24,2,,15.638,36.901
30,3,D. RICCIARDO,Red Bull Racing,17,17:39:26,3,,15.135,58.694
31,20,K. MAGNUSSEN,Haas F1 Team,17,17:39:27,2,,15.128,35.519
32,14,F. ALONSO,McLaren Honda,17,17:39:29,2,,15.104,36.321
33,55,C. SAINZ,Scuderia Toro Rosso,17,17:39:31,2,,14.966,36.006
34,2,S. VANDOORNE,McLaren Honda,17,17:39:32,2,,15.097,36.520
35,8,R. GROSJEAN,Haas F1 Team,17,17:39:33,3,,15.073,56.918
36,9,M. ERICSSON,Sauber F1 Team,17,17:39:34,2,,26.051,49.957
37,94,P. WEHRLEIN,Sauber F1 Team,17,17:39:36,3,,34.847,1:28.325
38,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,17,17:39:52,3,,14.978,1:11.647
39,11,S. PEREZ,Sahara Force India F1 Team,20,17:47:36,3,,26:34.609,27:10.485
40,31,E. OCON,Sahara Force India F1 Team,20,17:47:51,3,,31.657,1:07.211
41,7,K. RAIKKONEN,Scuderia Ferrari,20,17:48:02,3,,26:23.848,27:02.134
42,94,P. WEHRLEIN,Sauber F1 Team,21,17:50:37,4,,22.390,1:50.715
43,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,22,17:53:26,3,,21:50.768,22:26.420
44,5,S. VETTEL,Scuderia Ferrari,22,17:53:28,3,,21:50.808,22:26.041
45,19,F. MASSA,Williams Martini Racing,22,17:53:30,3,,21:50.671,22:27.157
46,18,L. STROLL,Williams Martini Racing,22,17:53:32,3,,21:52.728,22:30.680
47,3,D. RICCIARDO,Red Bull Racing,22,17:53:34,4,,21:53.343,22:52.037
48,27,N. HULKENBERG,Renault Sport F1 Team,22,17:53:35,3,,21:53.641,22:30.542
49,20,K. MAGNUSSEN,Haas F1 Team,22,17:53:37,3,,21:52.704,22:28.223
50,14,F. ALONSO,McLaren Honda,22,17:53:38,3,,21:53.187,22:29.508
51,55,C. SAINZ,Scuderia Toro Rosso,22,17:53:40,3,,21:53.693,22:29.699
52,8,R. GROSJEAN,Haas F1 Team,22,17:53:42,4,,21:53.665,22:50.583
53,9,M. ERICSSON,Sauber F1 Team,22,17:53:45,3,,21:54.950,22:44.907
54,2,S. VANDOORNE,McLaren Honda,22,17:53:48,3,,21:54.189,22:30.709
55,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
56,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,22,17:53:50,4,,21:53.511,23:05.158
57,31,E. OCON,Sahara Force India F1 Team,22,17:53:52,4,,21:53.873,23:01.084
58,94,P. WEHRLEIN,Sauber F1 Team,22,17:53:54,5,,21:55.645,23:46.360
59,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,31,18:32:21,4,,27.025,22:53.445
60,5,S. VETTEL,Scuderia Ferrari,33,18:35:52,4,,29.317,22:55.358
61,2,S. VANDOORNE,McLaren Honda,33,18:36:35,4,,20.446,22:51.155
62,11,S. PEREZ,Sahara Force India F1 Team,33,18:38:09,4,,14.951,27:25.436
63,7,K. RAIKKONEN,Scuderia Ferrari,33,18:38:11,4,,14.943,27:17.077
64,8,R. GROSJEAN,Haas F1 Team,36,18:42:11,5,,24.486,23:15.069
