,NO,GAP,TIME,LAP,race_id
387,21,PIT,1:49.506,19,8
388,20,48.180,1:46.066,19,8
389,14,49.579,1:44.769,19,8
390,8,50.361,1:46.009,19,8
391,7,50.576,1:43.982,19,8
392,27,55.441,1:42.409,19,8
393,12,59.927,1:46.039,19,8
394,94,60.541,1:43.654,19,8
395,30,68.019,1:44.031,19,8
396,88,76.496,2:01.959,19,8
397,6,PIT,1:48.389,20,8
398,77,21.345,1:43.934,20,8
399,44,26.934,1:44.120,20,8
400,26,30.262,2:00.840,20,8
401,22,31.329,1:44.696,20,8
402,5,31.966,1:43.570,20,8
403,33,PIT,1:49.979,20,8
404,11,38.477,1:42.548,20,8
405,19,39.100,2:01.166,20,8
406,9,41.331,1:45.869,20,8
407,14,45.873,1:44.683,20,8
408,55,46.194,2:00.745,20,8
409,7,46.913,1:44.726,20,8
410,3,46.967,2:00.680,20,8
411,27,50.212,1:43.160,20,8
412,20,PIT,1:52.240,20,8
413,8,PIT,1:51.924,20,8
414,94,57.357,1:45.205,20,8
415,21,59.580,2:01.361,20,8
416,12,PIT,1:51.479,20,8
417,30,64.439,1:44.809,20,8
418,88,71.022,1:42.915,20,8
419,6,0,2:00.966,21,8
420,77,PIT,1:49.039,21,8
421,26,11.434,1:42.138,21,8
422,5,13.338,1:42.338,21,8
423,44,PIT,1:49.277,21,8
424,22,15.389,1:45.026,21,8
425,11,19.623,1:42.112,21,8
426,19,20.168,1:42.034,21,8
427,9,25.177,1:44.812,21,8
428,55,28.211,1:42.983,21,8
429,3,28.910,1:42.909,21,8
430,14,29.372,1:44.465,21,8
431,7,30.005,1:44.058,21,8
432,27,32.494,1:43.248,21,8
433,33,38.340,2:01.858,21,8
434,21,41.360,1:42.746,21,8
435,94,42.007,1:45.616,21,8
436,30,48.299,1:44.826,21,8
437,20,53.027,2:01.962,21,8
438,88,53.789,1:43.733,21,8
439,8,56.889,2:03.959,21,8
440,12,65.496,2:03.445,21,8
441,6,0,1:40.631,22,8
442,26,12.871,1:42.068,22,8
443,5,14.515,1:41.808,22,8
444,22,19.245,1:44.487,22,8
445,11,21.456,1:42.464,22,8
446,19,21.972,1:42.435,22,8
447,77,28.824,2:00.037,22,8
448,9,29.695,1:45.149,22,8
449,55,30.885,1:43.305,22,8
450,3,31.084,1:42.805,22,8
451,7,32.924,1:43.550,22,8
452,14,33.604,1:44.863,22,8
453,27,35.305,1:43.442,22,8
454,44,35.575,2:00.961,22,8
455,33,40.129,1:42.420,22,8
456,21,43.562,1:42.833,22,8
457,94,45.921,1:44.545,22,8
458,30,52.579,1:44.911,22,8
459,20,54.707,1:42.311,22,8
460,88,57.050,1:43.892,22,8
461,8,59.080,1:42.822,22,8
462,12,67.715,1:42.850,22,8
463,6,0,1:40.868,23,8
464,26,14.017,1:42.014,23,8
465,5,15.461,1:41.814,23,8
466,22,22.720,1:44.343,23,8
467,11,23.393,1:42.805,23,8
468,19,23.833,1:42.729,23,8
469,77,29.514,1:41.558,23,8
470,3,33.283,1:43.067,23,8
471,9,33.867,1:45.040,23,8
472,55,34.103,1:44.086,23,8
473,7,34.907,1:42.851,23,8
474,44,36.260,1:41.553,23,8
475,14,37.266,1:44.530,23,8
476,27,38.528,1:44.091,23,8
477,33,41.623,1:42.362,23,8
478,21,45.633,1:42.939,23,8
479,94,49.175,1:44.122,23,8
480,20,56.463,1:42.624,23,8
481,30,57.270,1:45.559,23,8
482,88,60.081,1:43.899,23,8
483,8,61.090,1:42.878,23,8
484,12,69.972,1:43.125,23,8
485,6,0,1:40.881,24,8
486,26,15.297,1:42.161,24,8
487,5,16.731,1:42.151,24,8
488,22,26.386,1:44.547,24,8
489,19,26.882,1:43.930,24,8
490,11,27.507,1:44.995,24,8
491,77,30.599,1:41.966,24,8
492,3,34.577,1:42.175,24,8
493,55,35.990,1:42.768,24,8
494,7,37.148,1:43.122,24,8
495,44,37.700,1:42.321,24,8
496,9,39.498,1:46.512,24,8
497,14,40.446,1:44.061,24,8
498,27,41.383,1:43.736,24,8
499,33,43.586,1:42.844,24,8
500,21,48.150,1:43.398,24,8
501,94,52.465,1:44.171,24,8
502,20,59.115,1:43.533,24,8
503,88,63.221,1:44.021,24,8
504,8,63.642,1:43.433,24,8
505,30,PIT,1:50.682,24,8
506,12,72.352,1:43.261,24,8
507,6,0,1:40.876,25,8
508,26,16.705,1:42.284,25,8
509,5,18.002,1:42.147,25,8
510,19,28.917,1:42.911,25,8
511,22,31.031,1:45.521,25,8
512,11,31.515,1:44.884,25,8
513,77,31.772,1:42.049,25,8
514,3,35.684,1:41.983,25,8
515,55,37.612,1:42.498,25,8
516,7,38.824,1:42.552,25,8
517,44,39.463,1:42.639,25,8
518,9,43.524,1:44.902,25,8
519,14,43.944,1:44.374,25,8
520,27,44.674,1:44.167,25,8
521,33,45.803,1:43.093,25,8
522,21,50.640,1:43.366,25,8
523,94,55.904,1:44.315,25,8
524,20,61.783,1:43.544,25,8
525,88,66.269,1:43.924,25,8
526,8,66.569,1:43.803,25,8
527,12,75.023,1:43.547,25,8
528,30,86.808,2:00.613,25,8
529,6,0,1:40.580,26,8
530,26,18.734,1:42.609,26,8
531,5,19.805,1:42.383,26,8
532,19,30.988,1:42.651,26,8
533,11,35.462,1:44.527,26,8
534,77,36.256,1:45.064,26,8
535,22,36.838,1:46.387,26,8
536,3,37.642,1:42.538,26,8
537,55,39.723,1:42.691,26,8
538,7,40.546,1:42.302,26,8
539,44,41.395,1:42.512,26,8
540,14,47.922,1:44.558,26,8
541,33,48.878,1:43.655,26,8
542,9,49.480,1:46.536,26,8
543,21,53.980,1:43.920,26,8
544,27,PIT,1:50.682,26,8
545,94,59.711,1:44.387,26,8
546,20,65.009,1:43.806,26,8
547,88,70.166,1:44.477,26,8
548,8,70.889,1:44.900,26,8
549,12,78.045,1:43.602,26,8
550,30,88.460,1:42.232,26,8
551,6,0,1:40.823,27,8
552,26,20.413,1:42.502,27,8
553,5,21.392,1:42.410,27,8
554,19,33.026,1:42.861,27,8
555,77,38.693,1:43.260,27,8
556,11,39.259,1:44.620,27,8
557,3,40.069,1:43.250,27,8
558,55,42.345,1:43.445,27,8
559,7,43.147,1:43.424,27,8
560,44,43.579,1:43.007,27,8
561,22,PIT,1:52.188,27,8
562,14,50.768,1:43.669,27,8
563,33,51.303,1:43.248,27,8
564,9,53.735,1:45.078,27,8
565,21,56.761,1:43.604,27,8
566,20,68.563,1:44.377,27,8
567,94,PIT,1:49.959,27,8
568,88,73.766,1:44.423,27,8
569,8,74.406,1:44.340,27,8
570,27,80.846,2:06.893,27,8
571,12,81.578,1:44.356,27,8
572,30,90.455,1:42.818,27,8
573,6,0,1:41.154,28,8
574,26,21.925,1:42.666,28,8
575,5,23.254,1:43.016,28,8
576,19,34.899,1:43.027,28,8
577,77,40.323,1:42.784,28,8
578,3,42.825,1:43.910,28,8
579,55,45.013,1:43.822,28,8
580,7,45.737,1:43.744,28,8
581,44,46.283,1:43.858,28,8
582,11,PIT,1:49.745,28,8
583,33,53.524,1:43.375,28,8
584,14,54.019,1:44.405,28,8
585,21,59.554,1:43.947,28,8
586,9,PIT,1:50.299,28,8
587,22,67.224,2:00.175,28,8
588,20,71.871,1:44.462,28,8
589,8,78.227,1:44.975,28,8
590,27,82.002,1:42.310,28,8
591,88,PIT,1:50.011,28,8
592,12,84.752,1:44.328,28,8
593,94,90.256,2:02.563,28,8
594,30,92.696,1:43.395,28,8
595,6,0,1:41.357,29,8
596,26,23.333,1:42.765,29,8
597,5,24.597,1:42.700,29,8
598,19,36.264,1:42.722,29,8
599,77,41.579,1:42.613,29,8
600,3,44.252,1:42.784,29,8
601,55,46.949,1:43.293,29,8
602,7,47.612,1:43.232,29,8
603,44,48.599,1:43.673,29,8
604,33,55.262,1:43.095,29,8
605,14,57.200,1:44.538,29,8
606,21,61.989,1:43.792,29,8
607,11,65.857,1:59.364,29,8
608,22,68.366,1:42.499,29,8
609,20,75.074,1:44.560,29,8
610,8,81.242,1:44.372,29,8
611,27,83.259,1:42.614,29,8
612,9,83.502,2:01.979,29,8
613,12,87.721,1:44.326,29,8
614,94,91.230,1:42.331,29,8
615,30,95.172,1:43.833,29,8
616,6,0,1:41.564,30,8
617,88,1 LAP,2:03.812,30,8
618,26,24.660,1:42.891,30,8
619,5,25.971,1:42.938,30,8
620,19,37.719,1:43.019,30,8
621,3,45.394,1:42.706,30,8
622,77,PIT,1:46.621,30,8
623,55,48.813,1:43.428,30,8
624,7,49.436,1:43.388,30,8
625,44,PIT,1:47.764,30,8
626,33,56.878,1:43.180,30,8
627,14,59.460,1:43.824,30,8
628,21,63.709,1:43.284,30,8
629,11,66.139,1:41.846,30,8
630,22,69.699,1:42.897,30,8
631,20,78.241,1:44.731,30,8
632,8,84.456,1:44.778,30,8
633,27,84.861,1:43.166,30,8
634,9,85.530,1:43.592,30,8
635,12,90.050,1:43.893,30,8
636,94,92.306,1:42.640,30,8
637,30,97.439,1:43.831,30,8
638,6,0,1:42.179,31,8
639,88,1 LAP,1:42.444,31,8
640,26,25.701,1:43.220,31,8
641,5,26.792,1:43.000,31,8
642,19,PIT,1:47.755,31,8
643,3,45.795,1:42.580,31,8
644,55,50.078,1:43.444,31,8
645,7,50.623,1:43.366,31,8
646,33,57.749,1:43.050,31,8
647,14,60.794,1:43.513,31,8
648,77,64.116,1:59.659,31,8
649,21,65.751,1:44.221,31,8
650,11,66.480,1:42.520,31,8
651,22,70.214,1:42.694,31,8
652,44,70.775,1:58.155,31,8
653,20,80.717,1:44.655,31,8
654,27,85.600,1:42.918,31,8
655,9,87.665,1:44.314,31,8
656,8,88.197,1:45.920,31,8
657,12,91.945,1:44.074,31,8
658,94,93.134,1:43.007,31,8
659,30,99.253,1:43.993,31,8
660,6,0,1:41.878,32,8
661,88,1 LAP,1:42.193,32,8
662,26,26.679,1:42.856,32,8
663,5,28.047,1:43.133,32,8
664,3,46.307,1:42.390,32,8
665,55,51.821,1:43.621,32,8
666,7,52.268,1:43.523,32,8
667,33,58.763,1:42.892,32,8
668,19,62.153,2:00.736,32,8
669,77,63.827,1:41.589,32,8
670,11,67.307,1:42.705,32,8
671,14,PIT,1:48.515,32,8
672,21,68.980,1:45.107,32,8
673,44,69.559,1:40.662,32,8
674,22,71.734,1:43.398,32,8
675,20,83.775,1:44.936,32,8
676,27,86.507,1:42.785,32,8
677,9,89.409,1:43.622,32,8
678,8,91.889,1:45.570,32,8
679,12,93.999,1:43.932,32,8
680,94,94.321,1:43.065,32,8
681,6,0,1:42.294,33,8
682,30,1 LAP,1:45.891,33,8
683,88,1 LAP,1:42.755,33,8
684,26,27.488,1:43.103,33,8
685,5,29.218,1:43.465,33,8
686,3,46.571,1:42.558,33,8
687,7,53.501,1:43.527,33,8
688,55,PIT,1:48.713,33,8
689,33,59.403,1:42.934,33,8
690,19,61.889,1:42.030,33,8
